nominal;data;curs;cdx
1;31.12.2025;11,1592;Юань
1;30.12.2025;11,0501;Юань
1;27.12.2025;11,0449;Юань
1;26.12.2025;11,0773;Юань
1;25.12.2025;11,1824;Юань
1;24.12.2025;11,1497;Юань
1;23.12.2025;11,2308;Юань
1;20.12.2025;11,4463;Юань
1;19.12.2025;11,3328;Юань
1;18.12.2025;11,3698;Юань
1;17.12.2025;11,2567;Юань
1;16.12.2025;11,2151;Юань
1;13.12.2025;11,2726;Юань
1;12.12.2025;11,1867;Юань
1;11.12.2025;10,9644;Юань
1;10.12.2025;10,8340;Юань
1;09.12.2025;10,8283;Юань
1;06.12.2025;10,7328;Юань
1;05.12.2025;10,8487;Юань
1;04.12.2025;10,9762;Юань
1;03.12.2025;10,9251;Юань
1;02.12.2025;10,9581;Юань
1;29.11.2025;11,0211;Юань
1;28.11.2025;11,0250;Юань
1;27.11.2025;11,0790;Юань
1;26.11.2025;11,1052;Юань
1;25.11.2025;11,0516;Юань
1;22.11.2025;11,0576;Юань
1;21.11.2025;11,2795;Юань
1;20.11.2025;11,3434;Юань
1;19.11.2025;11,3810;Юань
1;18.11.2025;11,4002;Юань
1;15.11.2025;11,4021;Юань
1;14.11.2025;11,3214;Юань
1;13.11.2025;11,3731;Юань
1;12.11.2025;11,4130;Юань
1;11.11.2025;11,3506;Юань
1;08.11.2025;11,3561;Юань
1;07.11.2025;11,3674;Юань
1;06.11.2025;11,3362;Юань
1;02.11.2025;11,2449;Юань
1;01.11.2025;11,3408;Юань
1;31.10.2025;11,2952;Юань
1;30.10.2025;11,1707;Юань
1;29.10.2025;11,1921;Юань
1;28.10.2025;11,0648;Юань
1;25.10.2025;11,3079;Юань
1;24.10.2025;11,3733;Юань
1;23.10.2025;11,4541;Юань
1;22.10.2025;11,3645;Юань
1;21.10.2025;11,3540;Юань
1;18.10.2025;11,3435;Юань
1;17.10.2025;11,0623;Юань
1;16.10.2025;11,0216;Юань
1;15.10.2025;11,1190;Юань
1;14.10.2025;11,2816;Юань
1;11.10.2025;11,3626;Юань
1;10.10.2025;11,3642;Юань
1;09.10.2025;11,3476;Юань
1;08.10.2025;11,3685;Юань
1;07.10.2025;11,5581;Юань
1;04.10.2025;11,4165;Юань
1;03.10.2025;11,3342;Юань
1;02.10.2025;11,3920;Юань
1;01.10.2025;11,5548;Юань
1;30.09.2025;11,5978;Юань
1;27.09.2025;11,6751;Юань
1;26.09.2025;11,7064;Юань
1;25.09.2025;11,7231;Юань
1;24.09.2025;11,7014;Юань
1;23.09.2025;11,7292;Юань
1;20.09.2025;11,7060;Юань
1;19.09.2025;11,6661;Юань
1;18.09.2025;11,6623;Юань
1;17.09.2025;11,6052;Юань
1;16.09.2025;11,5949;Юань
1;13.09.2025;11,8263;Юань
1;12.09.2025;11,9373;Юань
1;11.09.2025;11,8961;Юань
1;10.09.2025;11,6934;Юань
1;09.09.2025;11,4746;Юань
1;06.09.2025;11,3884;Юань
1;05.09.2025;11,3536;Юань
1;04.09.2025;11,2981;Юань
1;03.09.2025;11,2557;Юань
1;02.09.2025;11,2618;Юань
1;30.08.2025;11,2713;Юань
1;29.08.2025;11,2382;Юань
1;28.08.2025;11,2009;Юань
1;27.08.2025;11,1844;Юань
1;26.08.2025;11,2615;Юань
1;23.08.2025;11,1982;Юань
1;22.08.2025;11,1562;Юань
1;21.08.2025;11,1451;Юань
1;20.08.2025;11,1702;Юань
1;19.08.2025;11,1547;Юань
1;16.08.2025;11,1072;Юань
1;15.08.2025;11,0940;Юань
1;14.08.2025;11,0667;Юань
1;13.08.2025;11,0609;Юань
1;12.08.2025;11,0514;Юань
1;09.08.2025;11,0665;Юань
1;08.08.2025;11,0170;Юань
1;07.08.2025;11,1165;Юань
1;06.08.2025;11,1036;Юань
1;05.08.2025;11,0670;Юань
1;02.08.2025;11,0899;Юань
1;01.08.2025;11,0928;Юань
1;31.07.2025;11,3683;Юань
1;30.07.2025;11,4270;Юань
1;29.07.2025;11,1209;Юань
1;26.07.2025;11,0659;Юань
1;25.07.2025;11,0652;Юань
1;24.07.2025;10,9593;Юань
1;23.07.2025;10,8829;Юань
1;22.07.2025;10,8910;Юань
1;19.07.2025;10,8959;Юань
1;18.07.2025;10,8787;Юань
1;17.07.2025;10,8414;Юань
1;16.07.2025;10,8353;Юань
1;15.07.2025;10,8932;Юань
1;12.07.2025;10,8435;Юань
1;11.07.2025;10,8185;Юань
1;10.07.2025;10,8494;Юань
1;09.07.2025;10,8597;Юань
1;08.07.2025;10,9808;Юань
1;05.07.2025;10,9947;Юань
1;04.07.2025;10,9852;Юань
1;03.07.2025;10,9465;Юань
1;02.07.2025;10,9384;Юань
1;01.07.2025;10,9298;Юань
1;28.06.2025;10,9433;Юань
1;27.06.2025;10,9343;Юань
1;26.06.2025;10,9069;Юань
1;25.06.2025;10,9657;Юань
1;24.06.2025;10,8691;Юань
1;21.06.2025;10,9021;Юань
1;20.06.2025;10,8605;Юань
1;19.06.2025;10,8728;Юань
1;18.06.2025;10,9210;Юань
1;17.06.2025;10,8979;Юань
1;12.06.2025;10,9317;Юань
1;11.06.2025;10,9057;Юань
1;10.06.2025;10,9784;Юань
1;07.06.2025;11,0110;Юань
1;06.06.2025;11,0208;Юань
1;05.06.2025;10,8685;Юань
1;04.06.2025;10,9128;Юань
1;03.06.2025;10,9452;Юань
1;31.05.2025;10,8897;Юань
1;30.05.2025;10,8940;Юань
1;29.05.2025;11,0504;Юань
1;28.05.2025;11,1014;Юань
1;27.05.2025;11,0802;Юань
1;24.05.2025;11,0772;Юань
1;23.05.2025;11,0101;Юань
1;22.05.2025;11,0876;Юань
1;21.05.2025;11,1625;Юань
1;20.05.2025;11,1179;Юань
1;17.05.2025;11,1593;Юань
1;16.05.2025;11,1143;Юань
1;15.05.2025;11,1128;Юань
1;14.05.2025;11,1573;Юань
1;13.05.2025;11,1789;Юань
1;08.05.2025;11,1819;Юань
1;07.05.2025;11,2155;Юань
1;06.05.2025;11,3025;Юань
1;01.05.2025;11,1713;Юань
1;30.04.2025;11,2016;Юань
1;29.04.2025;11,2761;Юань
1;26.04.2025;11,3506;Юань
1;25.04.2025;11,3979;Юань
1;24.04.2025;11,3388;Юань
1;23.04.2025;11,1123;Юань
1;22.04.2025;11,0648;Юань
1;19.04.2025;11,0889;Юань
1;18.04.2025;11,1915;Юань
1;17.04.2025;11,2812;Юань
1;16.04.2025;11,1640;Юань
1;15.04.2025;11,2274;Юань
1;12.04.2025;11,4471;Юань
1;11.04.2025;11,5336;Юань
1;10.04.2025;11,6352;Юань
1;09.04.2025;11,5664;Юань
1;08.04.2025;11,7286;Юань
1;05.04.2025;11,6044;Юань
1;04.04.2025;11,4818;Юань
1;03.04.2025;11,5258;Юань
1;02.04.2025;11,6029;Юань
1;01.04.2025;11,7136;Юань
1;29.03.2025;11,4575;Юань
1;28.03.2025;11,4970;Юань
1;27.03.2025;11,5225;Юань
1;26.03.2025;11,5572;Юань
1;25.03.2025;11,4610;Юань
1;22.03.2025;11,5779;Юань
1;21.03.2025;11,6019;Юань
1;20.03.2025;11,4337;Юань
1;19.03.2025;11,2232;Юань
1;18.03.2025;11,6000;Юань
1;15.03.2025;11,8167;Юань
1;14.03.2025;11,8730;Юань
1;13.03.2025;11,9242;Юань
1;12.03.2025;11,8458;Юань
1;11.03.2025;12,0798;Юань
1;08.03.2025;12,2387;Юань
1;07.03.2025;12,2892;Юань
1;06.03.2025;12,2890;Юань
1;05.03.2025;12,1906;Юань
1;04.03.2025;12,1658;Юань
1;01.03.2025;12,0754;Юань
1;28.02.2025;11,9563;Юань
1;27.02.2025;11,7370;Юань
1;26.02.2025;11,8002;Юань
1;25.02.2025;12,0634;Юань
1;22.02.2025;12,0430;Юань
1;21.02.2025;12,1252;Юань
1;20.02.2025;12,3608;Юань
1;19.02.2025;12,4167;Юань
1;18.02.2025;12,4935;Юань
1;15.02.2025;12,3668;Юань
1;14.02.2025;12,3356;Юань
1;13.02.2025;12,7702;Юань
1;12.02.2025;13,0258;Юань
1;11.02.2025;13,2421;Юань
1;08.02.2025;13,2365;Юань
1;07.02.2025;13,0503;Юань
1;06.02.2025;13,2490;Юань
1;05.02.2025;13,2985;Юань
1;04.02.2025;13,4095;Юань
1;01.02.2025;13,2638;Юань
1;31.01.2025;13,3729;Юань
1;30.01.2025;13,3817;Юань
1;29.01.2025;13,4568;Юань
1;28.01.2025;13,3806;Юань
1;25.01.2025;13,5101;Юань
1;24.01.2025;13,5786;Юань
1;23.01.2025;13,5443;Юань
1;22.01.2025;13,7370;Юань
1;21.01.2025;13,8302;Юань
1;18.01.2025;13,9338;Юань
1;17.01.2025;13,9143;Юань
1;16.01.2025;13,9197;Юань
1;15.01.2025;13,9486;Юань
1;14.01.2025;13,8184;Юань
1;11.01.2025;13,6866;Юань
1;10.01.2025;13,6934;Юань
1;29.12.2024;13,4272;Юань
1;28.12.2024;13,4434;Юань
1;27.12.2024;13,4716;Юань
1;26.12.2024;13,6054;Юань
1;25.12.2024;13,6624;Юань
1;24.12.2024;13,8254;Юань
1;21.12.2024;13,9897;Юань
1;20.12.2024;14,1860;Юань
1;19.12.2024;14,0761;Юань
1;18.12.2024;13,9613;Юань
1;17.12.2024;13,8603;Юань
1;14.12.2024;14,0096;Юань
1;13.12.2024;13,9594;Юань
1;12.12.2024;13,8539;Юань
1;11.12.2024;13,6566;Юань
1;10.12.2024;13,5240;Юань
1;07.12.2024;13,5970;Юань
1;06.12.2024;14,1399;Юань
1;05.12.2024;14,2565;Юань
1;04.12.2024;14,5545;Юань
1;03.12.2024;14,6258;Юань
1;30.11.2024;14,7233;Юань
1;29.11.2024;14,6653;Юань
1;28.11.2024;14,8382;Юань
1;27.11.2024;14,4449;Юань
1;26.11.2024;14,2057;Юань
1;23.11.2024;13,9427;Юань
1;22.11.2024;13,8821;Юань
1;21.11.2024;13,8224;Юань
1;20.11.2024;13,7744;Юань
1;19.11.2024;13,7597;Юань
1;16.11.2024;13,7992;Юань
1;15.11.2024;13,6596;Юань
1;14.11.2024;13,5980;Юань
1;13.11.2024;13,4951;Юань
1;12.11.2024;13,5520;Юань
1;09.11.2024;13,5940;Юань
1;08.11.2024;13,6240;Юань
1;07.11.2024;13,6395;Юань
1;06.11.2024;13,7539;Юань
1;03.11.2024;13,6731;Юань
1;02.11.2024;13,6394;Юань
1;01.11.2024;13,6068;Юань
1;31.10.2024;13,5876;Юань
1;30.10.2024;13,5954;Юань
1;29.10.2024;13,6103;Юань
1;26.10.2024;13,5007;Юань
1;25.10.2024;13,5348;Юань
1;24.10.2024;13,5192;Юань
1;23.10.2024;13,5463;Юань
1;22.10.2024;13,4733;Юань
1;19.10.2024;13,4631;Юань
1;18.10.2024;13,5487;Юань
1;17.10.2024;13,5917;Юань
1;16.10.2024;13,5683;Юань
1;15.10.2024;13,4987;Юань
1;12.10.2024;13,4752;Юань
1;11.10.2024;13,6922;Юань
1;10.10.2024;13,6869;Юань
1;09.10.2024;13,5810;Юань
1;08.10.2024;13,5537;Юань
1;05.10.2024;13,4127;Юань
1;04.10.2024;13,4808;Юань
1;03.10.2024;13,3914;Юань
1;02.10.2024;13,1959;Юань
1;01.10.2024;13,2425;Юань
1;28.09.2024;13,2163;Юань
1;27.09.2024;13,1451;Юань
1;26.09.2024;13,0939;Юань
1;25.09.2024;13,2160;Юань
1;24.09.2024;13,1134;Юань
